date,amount,vendor,location,transaction_type
2024-01-18,6207,Swiggy,Pune,Food
2024-02-17,8515,Flipkart,Mumbai,Food
2024-02-20,7637,Zomato,Bangalore,Transfer
2024-02-26,8075,Swiggy,Bangalore,Online
2024-01-26,3182,Zomato,Mumbai,Online
2024-02-17,8184,Swiggy,Mumbai,Food
2024-01-14,2022,Zomato,Mumbai,Food
2024-02-28,6884,Flipkart,Pune,Transfer
2024-01-18,7565,Zomato,Delhi,Transfer
2024-02-21,96282,Unknown,Pune,Online
2024-01-31,1931,Zomato,Bangalore,Online
2024-02-01,5893,Flipkart,Delhi,Online
2024-01-03,3436,Swiggy,Pune,Transfer
2024-01-21,6142,Amazon,Pune,Transfer
2024-01-22,194634,Unknown,Bangalore,Online
2024-01-26,282313,Unknown,Delhi,Food
2024-02-01,8574,Amazon,Mumbai,Online
2024-01-01,3025,Flipkart,Bangalore,Transfer
2024-01-01,7439,Flipkart,Delhi,Transfer
2024-02-01,3198,Amazon,Mumbai,Transfer
2024-01-12,6043,Zomato,Pune,Online
2024-01-14,1303,Swiggy,Pune,Food
2024-02-15,7714,Zomato,Pune,Online
2024-01-31,5207,Swiggy,Bangalore,Food
2024-02-03,169366,Unknown,Bangalore,Transfer
2024-01-02,6874,Swiggy,Pune,Transfer
2024-02-05,8308,Flipkart,Bangalore,Transfer
2024-01-02,8708,Zomato,Mumbai,Transfer
2024-01-30,3545,Swiggy,Mumbai,Transfer
2024-01-08,2427,Flipkart,Delhi,Online
2024-01-08,1069,Flipkart,Bangalore,Transfer
2024-02-25,6132,Zomato,Bangalore,Food
2024-02-23,9591,Zomato,Bangalore,Online
2024-02-07,1695,Flipkart,Pune,Transfer
2024-02-01,6450,Flipkart,Bangalore,Food
2024-02-04,3806,Swiggy,Delhi,Food
2024-02-17,6992,Zomato,Bangalore,Food
2024-01-26,67842,Unknown,Pune,Online
2024-01-21,130772,Unknown,Delhi,Transfer
2024-02-19,1358,Flipkart,Bangalore,Online
2024-02-12,2268,Swiggy,Pune,Food
2024-02-11,4322,Amazon,Mumbai,Online
2024-01-23,247329,Unknown,Delhi,Food
2024-01-17,4419,Flipkart,Bangalore,Transfer
2024-02-21,892,Zomato,Bangalore,Food
2024-02-24,7384,Zomato,Delhi,Transfer
2024-02-02,6498,Swiggy,Pune,Transfer
2024-01-08,57024,Unknown,Pune,Transfer
2024-01-10,6325,Zomato,Pune,Food
2024-02-03,6162,Amazon,Delhi,Online
2024-02-06,6739,Zomato,Pune,Transfer
2024-01-08,115441,Unknown,Mumbai,Food
2024-01-16,6121,Amazon,Bangalore,Transfer
2024-01-28,3606,Amazon,Pune,Transfer
2024-02-22,588,Flipkart,Delhi,Transfer
2024-02-20,141699,Unknown,Bangalore,Food
2024-01-01,654,Swiggy,Delhi,Transfer
2024-02-04,185561,Unknown,Pune,Transfer
2024-02-25,714,Flipkart,Delhi,Food
2024-02-07,2823,Swiggy,Delhi,Transfer
2024-01-23,8143,Amazon,Mumbai,Online
2024-01-15,6779,Amazon,Delhi,Food
2024-03-01,3079,Flipkart,Bangalore,Transfer
2024-02-18,85147,Unknown,Mumbai,Food
2024-02-11,3948,Swiggy,Mumbai,Online
2024-02-26,5880,Amazon,Pune,Transfer
2024-02-27,4418,Zomato,Pune,Online
2024-01-30,221359,Unknown,Bangalore,Online
2024-02-08,7971,Swiggy,Mumbai,Transfer
2024-02-24,4692,Zomato,Mumbai,Transfer
2024-01-09,137681,Unknown,Mumbai,Food
2024-01-28,9756,Zomato,Bangalore,Food
2024-02-14,6588,Amazon,Bangalore,Online
2024-01-10,4159,Swiggy,Delhi,Food
2024-01-15,8492,Swiggy,Pune,Transfer
2024-01-18,6610,Flipkart,Mumbai,Food
2024-03-01,2800,Flipkart,Bangalore,Online
2024-01-30,4067,Flipkart,Pune,Transfer
2024-02-22,4314,Flipkart,Delhi,Online
2024-01-20,5766,Amazon,Mumbai,Transfer
2024-02-01,6611,Swiggy,Pune,Online
2024-02-15,6449,Zomato,Pune,Food
2024-01-06,1118,Swiggy,Delhi,Online
2024-02-13,6146,Swiggy,Delhi,Transfer
2024-01-25,8729,Amazon,Bangalore,Online
2024-02-16,261137,Unknown,Delhi,Transfer
2024-01-19,141888,Unknown,Mumbai,Online
2024-01-21,2580,Flipkart,Delhi,Food
2024-01-30,1062,Flipkart,Mumbai,Food
2024-01-18,4764,Swiggy,Bangalore,Transfer
2024-01-29,4365,Flipkart,Bangalore,Online
2024-02-15,5010,Flipkart,Pune,Food
2024-02-24,159539,Unknown,Bangalore,Online
2024-01-16,924,Flipkart,Pune,Online
2024-01-30,7411,Amazon,Bangalore,Online
2024-01-28,267543,Unknown,Bangalore,Online
2024-01-11,1778,Amazon,Mumbai,Food
2024-02-26,1593,Flipkart,Delhi,Transfer
2024-02-11,9734,Amazon,Bangalore,Transfer
2024-01-25,7080,Swiggy,Delhi,Food
2024-03-01,3875,Amazon,Pune,Transfer
2024-01-11,2545,Zomato,Mumbai,Food
2024-01-11,110059,Unknown,Delhi,Online
2024-02-08,100271,Unknown,Delhi,Online
2024-02-01,205755,Unknown,Mumbai,Online
2024-02-27,828,Swiggy,Mumbai,Transfer
2024-02-11,6658,Zomato,Delhi,Transfer
2024-01-29,6739,Flipkart,Mumbai,Online
2024-02-20,233747,Unknown,Pune,Online
2024-01-24,7755,Zomato,Delhi,Food
2024-02-14,4974,Zomato,Bangalore,Online
2024-01-15,9680,Amazon,Bangalore,Food
2024-02-03,2417,Swiggy,Pune,Food
2024-02-29,7944,Swiggy,Bangalore,Online
2024-02-15,7985,Swiggy,Delhi,Online
2024-02-20,9663,Swiggy,Mumbai,Transfer
2024-02-12,8205,Flipkart,Bangalore,Online
2024-02-19,1426,Swiggy,Delhi,Transfer
2024-02-03,7687,Zomato,Pune,Transfer
2024-01-22,154756,Unknown,Pune,Online
2024-02-14,9759,Swiggy,Bangalore,Transfer
2024-02-22,192540,Unknown,Delhi,Food
2024-02-12,247045,Unknown,Pune,Online
2024-02-04,7287,Flipkart,Bangalore,Online
2024-01-21,4434,Swiggy,Delhi,Transfer
2024-02-16,4578,Flipkart,Bangalore,Transfer
2024-01-23,2094,Zomato,Pune,Transfer
2024-02-03,3206,Swiggy,Mumbai,Transfer
2024-01-02,9571,Swiggy,Delhi,Food
2024-01-25,6266,Swiggy,Mumbai,Online
2024-01-02,6310,Amazon,Bangalore,Food
2024-01-13,6878,Swiggy,Pune,Food
2024-01-31,6729,Swiggy,Pune,Transfer
2024-02-27,2096,Swiggy,Pune,Transfer
2024-01-03,2361,Flipkart,Mumbai,Food
2024-02-02,1984,Amazon,Mumbai,Online
2024-02-10,57675,Unknown,Delhi,Online
2024-01-21,61379,Unknown,Mumbai,Food
2024-01-16,6209,Zomato,Bangalore,Food
2024-02-28,8342,Zomato,Mumbai,Transfer
2024-01-08,9816,Swiggy,Bangalore,Online
2024-01-25,2011,Swiggy,Delhi,Online
2024-02-06,9021,Amazon,Pune,Transfer
2024-02-25,9998,Flipkart,Bangalore,Transfer
2024-01-10,2256,Flipkart,Pune,Food
2024-02-27,5960,Zomato,Mumbai,Transfer
2024-02-08,2532,Zomato,Delhi,Online
2024-01-01,2611,Zomato,Pune,Transfer
2024-02-13,3737,Swiggy,Pune,Transfer
2024-02-18,3447,Amazon,Pune,Online
2024-02-28,923,Flipkart,Bangalore,Transfer
2024-01-15,8440,Flipkart,Pune,Transfer
2024-01-25,7760,Flipkart,Delhi,Food
2024-02-04,700,Flipkart,Mumbai,Food
2024-02-25,9383,Amazon,Delhi,Food
2024-02-17,5053,Swiggy,Bangalore,Transfer
2024-01-19,9188,Swiggy,Delhi,Transfer
2024-01-08,156365,Unknown,Bangalore,Online
2024-02-28,6786,Swiggy,Mumbai,Online
2024-02-25,3342,Zomato,Pune,Food
2024-02-22,5446,Flipkart,Pune,Food
2024-02-19,9367,Flipkart,Delhi,Food
2024-02-05,661,Swiggy,Bangalore,Transfer
2024-02-15,3354,Zomato,Delhi,Online
2024-01-14,214478,Unknown,Mumbai,Online
2024-02-01,7200,Amazon,Pune,Online
2024-01-10,288398,Unknown,Delhi,Online
2024-01-30,3676,Zomato,Bangalore,Transfer
2024-02-26,5187,Flipkart,Pune,Online
2024-01-28,5685,Swiggy,Mumbai,Online
2024-02-29,9695,Zomato,Delhi,Food
2024-02-13,109721,Unknown,Delhi,Online
2024-02-26,877,Zomato,Pune,Transfer
2024-02-05,106330,Unknown,Delhi,Food
2024-02-29,1585,Amazon,Delhi,Transfer
2024-01-29,125428,Unknown,Mumbai,Food
2024-02-24,4164,Amazon,Mumbai,Transfer
2024-01-02,113380,Unknown,Delhi,Online
2024-01-14,5002,Swiggy,Bangalore,Online
2024-01-16,2300,Swiggy,Mumbai,Online
2024-01-03,189699,Unknown,Mumbai,Online
2024-01-03,261102,Unknown,Delhi,Food
2024-02-27,3417,Zomato,Delhi,Online
2024-02-02,68188,Unknown,Pune,Food
2024-01-14,5337,Zomato,Mumbai,Online
2024-01-06,6787,Swiggy,Bangalore,Transfer
2024-02-26,9280,Zomato,Bangalore,Transfer
2024-02-26,3090,Swiggy,Bangalore,Food
2024-02-22,4550,Swiggy,Delhi,Food
2024-02-05,206427,Unknown,Mumbai,Food
2024-02-06,172862,Unknown,Delhi,Online
2024-01-29,3543,Flipkart,Delhi,Food
2024-01-09,9506,Amazon,Bangalore,Transfer
2024-02-27,8955,Amazon,Pune,Food
2024-02-10,1009,Zomato,Delhi,Food
2024-02-08,3567,Swiggy,Delhi,Transfer
2024-02-17,6541,Swiggy,Pune,Food
2024-02-09,705,Amazon,Mumbai,Transfer
2024-01-05,69498,Unknown,Bangalore,Online
2024-02-16,8528,Swiggy,Pune,Food
2024-02-05,1112,Flipkart,Pune,Online
2024-01-31,1612,Amazon,Bangalore,Food
2024-02-12,8046,Swiggy,Delhi,Online
2024-01-21,8432,Swiggy,Mumbai,Online
2024-02-18,6419,Flipkart,Bangalore,Online
2024-02-15,2443,Amazon,Bangalore,Transfer
2024-01-06,6041,Flipkart,Mumbai,Online
2024-01-10,3092,Zomato,Bangalore,Online
2024-01-15,184097,Unknown,Mumbai,Online
2024-01-26,2705,Flipkart,Delhi,Food
2024-02-17,2066,Flipkart,Mumbai,Online
2024-01-13,9372,Zomato,Bangalore,Transfer
2024-02-29,299539,Unknown,Mumbai,Transfer
2024-01-19,7102,Zomato,Pune,Food
2024-01-26,7764,Swiggy,Delhi,Transfer
2024-02-24,6877,Flipkart,Mumbai,Transfer
2024-02-16,3497,Amazon,Delhi,Transfer
2024-02-01,8100,Flipkart,Pune,Online
2024-02-23,277105,Unknown,Mumbai,Food
2024-01-31,8680,Flipkart,Bangalore,Transfer
2024-02-24,7639,Amazon,Pune,Online
2024-02-22,1352,Amazon,Mumbai,Food
2024-01-12,2908,Zomato,Delhi,Online
2024-02-28,2593,Zomato,Mumbai,Online
2024-02-03,156023,Unknown,Delhi,Transfer
2024-01-02,9010,Flipkart,Mumbai,Online
2024-01-15,9704,Zomato,Mumbai,Food
2024-02-21,8592,Zomato,Bangalore,Food
2024-02-03,6298,Zomato,Pune,Online
2024-02-20,912,Zomato,Delhi,Transfer
2024-01-11,5681,Swiggy,Pune,Food
2024-01-16,8629,Swiggy,Bangalore,Online
2024-01-06,5161,Zomato,Pune,Transfer
2024-01-07,1595,Swiggy,Pune,Food
2024-01-27,2964,Flipkart,Delhi,Food
2024-02-08,9682,Amazon,Mumbai,Food
2024-01-19,9905,Zomato,Mumbai,Transfer
2024-01-24,1712,Swiggy,Pune,Food
2024-03-01,9181,Zomato,Bangalore,Food
2024-01-28,1490,Amazon,Bangalore,Online
2024-02-01,53551,Unknown,Delhi,Online
2024-01-03,109773,Unknown,Delhi,Food
2024-02-15,3284,Swiggy,Mumbai,Food
2024-01-16,293130,Unknown,Bangalore,Online
2024-02-25,7443,Amazon,Mumbai,Transfer
2024-01-22,8407,Amazon,Pune,Transfer
2024-01-24,9479,Amazon,Delhi,Online
2024-02-29,1356,Amazon,Mumbai,Online
2024-02-21,2371,Swiggy,Mumbai,Online
2024-01-12,5330,Swiggy,Bangalore,Online
2024-01-28,1914,Zomato,Delhi,Online
2024-01-11,5762,Amazon,Pune,Transfer
2024-02-26,1941,Amazon,Delhi,Online
2024-01-27,216847,Unknown,Delhi,Online
2024-01-24,4855,Flipkart,Mumbai,Transfer
2024-02-14,5601,Swiggy,Delhi,Online
2024-01-12,8565,Zomato,Bangalore,Transfer
2024-01-23,205051,Unknown,Delhi,Transfer
2024-01-30,2335,Flipkart,Pune,Online
2024-02-14,189512,Unknown,Pune,Food
2024-02-16,5087,Swiggy,Delhi,Food
2024-02-18,1715,Zomato,Mumbai,Online
2024-01-28,7181,Zomato,Bangalore,Food
2024-01-12,7747,Swiggy,Bangalore,Food
2024-02-03,3343,Swiggy,Mumbai,Transfer
2024-01-24,175468,Unknown,Bangalore,Transfer
2024-01-12,3236,Zomato,Bangalore,Online
2024-02-11,6309,Swiggy,Mumbai,Online
2024-01-27,2437,Zomato,Bangalore,Transfer
2024-02-04,3062,Zomato,Mumbai,Online
2024-02-09,5351,Swiggy,Mumbai,Transfer
2024-01-08,1131,Zomato,Pune,Food
2024-01-13,5768,Flipkart,Bangalore,Transfer
2024-01-17,1423,Amazon,Pune,Online
2024-02-26,5640,Swiggy,Pune,Food
2024-02-24,8169,Flipkart,Mumbai,Food
2024-02-24,8084,Swiggy,Delhi,Online
2024-01-17,6778,Swiggy,Pune,Transfer
2024-01-31,6823,Swiggy,Mumbai,Online
2024-02-07,5510,Swiggy,Pune,Online
2024-02-06,9613,Flipkart,Delhi,Transfer
2024-01-25,7018,Flipkart,Pune,Food
2024-02-11,2514,Amazon,Pune,Transfer
2024-01-31,8593,Flipkart,Bangalore,Food
2024-01-09,1161,Amazon,Delhi,Transfer
2024-01-12,8647,Amazon,Bangalore,Transfer
2024-02-14,7399,Zomato,Mumbai,Online
2024-02-26,156550,Unknown,Mumbai,Food
2024-01-21,5846,Swiggy,Bangalore,Food
2024-02-16,3907,Swiggy,Delhi,Food
2024-02-17,4647,Amazon,Bangalore,Food
2024-02-13,7142,Amazon,Mumbai,Online
2024-01-12,125377,Unknown,Delhi,Online
2024-01-08,8657,Flipkart,Pune,Online
2024-01-31,234515,Unknown,Pune,Transfer
2024-01-11,4912,Amazon,Bangalore,Online
2024-02-24,216814,Unknown,Bangalore,Online
2024-02-17,7204,Swiggy,Mumbai,Online
2024-02-02,8229,Flipkart,Delhi,Food
2024-01-03,2785,Amazon,Bangalore,Transfer
2024-01-31,981,Swiggy,Pune,Online
2024-01-03,1118,Swiggy,Delhi,Online
2024-02-21,262741,Unknown,Mumbai,Online
2024-01-24,7226,Zomato,Pune,Food
2024-01-27,1496,Amazon,Mumbai,Transfer
2024-02-21,2988,Amazon,Bangalore,Online
2024-01-04,4055,Swiggy,Delhi,Transfer
2024-01-01,295886,Unknown,Mumbai,Online
2024-01-11,185218,Unknown,Mumbai,Online
2024-01-12,5057,Amazon,Delhi,Transfer
2024-01-13,2595,Amazon,Pune,Food
2024-02-10,5911,Amazon,Bangalore,Online
2024-02-04,6148,Swiggy,Mumbai,Online
2024-01-11,4326,Zomato,Pune,Transfer
2024-02-23,97734,Unknown,Bangalore,Online
2024-02-29,1582,Flipkart,Mumbai,Transfer
2024-02-21,3875,Amazon,Delhi,Online
2024-02-14,2660,Swiggy,Pune,Food
2024-01-26,7362,Zomato,Delhi,Transfer
2024-02-11,204291,Unknown,Delhi,Food
2024-01-06,9154,Swiggy,Delhi,Transfer
2024-01-04,2640,Zomato,Delhi,Food
2024-01-21,4239,Swiggy,Pune,Food
2024-02-24,220501,Unknown,Bangalore,Transfer
2024-01-13,5647,Zomato,Pune,Online
2024-02-18,2233,Flipkart,Bangalore,Transfer
2024-02-16,2530,Flipkart,Mumbai,Transfer
2024-01-28,82817,Unknown,Mumbai,Online
2024-02-26,5100,Amazon,Mumbai,Food
2024-01-18,151110,Unknown,Bangalore,Food
2024-01-26,5342,Amazon,Delhi,Food
2024-02-10,839,Amazon,Mumbai,Transfer
2024-01-17,7189,Swiggy,Mumbai,Online
2024-01-23,7111,Flipkart,Pune,Online
2024-01-11,9248,Swiggy,Pune,Food
2024-02-25,5452,Amazon,Delhi,Food
2024-01-02,179574,Unknown,Pune,Transfer
2024-02-05,7632,Swiggy,Pune,Food
2024-02-15,5601,Amazon,Delhi,Online
2024-02-06,9605,Zomato,Pune,Transfer
2024-01-31,7718,Flipkart,Delhi,Food
2024-02-21,8834,Swiggy,Mumbai,Transfer
2024-02-25,5194,Amazon,Pune,Online
2024-01-06,4545,Amazon,Mumbai,Transfer
2024-01-31,116324,Unknown,Mumbai,Food
2024-02-01,9798,Zomato,Bangalore,Transfer
2024-01-19,907,Swiggy,Bangalore,Food
2024-03-01,8459,Zomato,Bangalore,Transfer
2024-02-15,259437,Unknown,Bangalore,Transfer
2024-01-06,7711,Flipkart,Delhi,Online
2024-02-14,2869,Swiggy,Bangalore,Transfer
2024-02-25,4209,Swiggy,Pune,Online
2024-01-31,2043,Flipkart,Mumbai,Food
2024-01-25,4265,Amazon,Delhi,Transfer
2024-01-20,4990,Zomato,Mumbai,Transfer
2024-01-14,2975,Swiggy,Mumbai,Food
2024-01-26,5965,Zomato,Delhi,Transfer
2024-01-03,6881,Amazon,Bangalore,Online
2024-01-13,1990,Flipkart,Mumbai,Transfer
2024-03-01,7051,Zomato,Mumbai,Online
2024-02-25,2990,Amazon,Pune,Food
2024-02-27,9007,Flipkart,Bangalore,Transfer
2024-02-23,248018,Unknown,Mumbai,Online
2024-01-10,1120,Flipkart,Mumbai,Online
2024-01-06,3798,Zomato,Delhi,Transfer
2024-02-22,9792,Amazon,Pune,Food
2024-02-01,4204,Amazon,Mumbai,Transfer
2024-02-21,270473,Unknown,Bangalore,Online
2024-01-19,175897,Unknown,Bangalore,Food
2024-02-22,68906,Unknown,Bangalore,Food
2024-01-05,1975,Amazon,Bangalore,Food
2024-02-19,5693,Zomato,Delhi,Food
2024-02-19,4635,Zomato,Pune,Online
2024-01-25,1259,Swiggy,Bangalore,Food
2024-02-29,1613,Zomato,Mumbai,Online
2024-02-13,9949,Amazon,Pune,Transfer
2024-01-30,3687,Zomato,Bangalore,Transfer
2024-01-28,3837,Flipkart,Pune,Food
2024-02-12,8407,Swiggy,Pune,Online
2024-02-21,4613,Flipkart,Mumbai,Online
2024-02-29,8070,Amazon,Mumbai,Online
2024-02-23,9037,Flipkart,Pune,Online
2024-01-13,215741,Unknown,Pune,Transfer
2024-02-20,593,Amazon,Bangalore,Food
2024-02-24,4806,Swiggy,Delhi,Transfer
2024-02-10,4757,Amazon,Bangalore,Online
2024-01-11,6479,Amazon,Pune,Online
2024-02-19,186084,Unknown,Bangalore,Online
2024-01-24,240081,Unknown,Delhi,Transfer
2024-01-10,1473,Zomato,Pune,Food
2024-02-23,543,Swiggy,Delhi,Food
2024-02-17,2022,Flipkart,Delhi,Food
2024-02-26,132830,Unknown,Pune,Online
2024-01-04,6969,Zomato,Bangalore,Transfer
2024-01-20,2443,Zomato,Bangalore,Online
2024-02-15,8191,Swiggy,Bangalore,Online
2024-01-08,1843,Swiggy,Bangalore,Online
2024-01-13,2636,Flipkart,Delhi,Online
2024-02-19,5349,Swiggy,Bangalore,Transfer
2024-02-13,3771,Swiggy,Pune,Online
2024-02-03,2369,Swiggy,Delhi,Food
2024-01-05,215950,Unknown,Pune,Transfer
2024-01-31,6822,Flipkart,Bangalore,Online
2024-02-03,196143,Unknown,Mumbai,Food
2024-02-10,1931,Amazon,Mumbai,Online
2024-01-21,3309,Flipkart,Bangalore,Online
2024-01-30,144237,Unknown,Delhi,Transfer
2024-01-07,9121,Zomato,Bangalore,Transfer
2024-01-14,4808,Zomato,Bangalore,Transfer
2024-02-19,4254,Flipkart,Bangalore,Online
2024-02-21,89140,Unknown,Mumbai,Transfer
2024-02-11,3290,Zomato,Delhi,Online
2024-02-08,4895,Flipkart,Delhi,Transfer
2024-01-20,4396,Flipkart,Pune,Food
2024-01-16,231639,Unknown,Pune,Food
2024-01-06,9552,Zomato,Bangalore,Online
2024-02-19,6861,Swiggy,Delhi,Transfer
2024-01-03,3809,Swiggy,Bangalore,Online
2024-02-05,3588,Amazon,Delhi,Online
2024-02-03,4333,Flipkart,Mumbai,Food
2024-02-11,246853,Unknown,Mumbai,Transfer
2024-02-25,5134,Amazon,Pune,Food
2024-02-28,70634,Unknown,Delhi,Online
2024-02-26,6513,Zomato,Bangalore,Food
2024-02-02,9933,Zomato,Bangalore,Online
2024-01-15,9115,Zomato,Delhi,Transfer
2024-03-01,7401,Amazon,Pune,Food
2024-01-15,10000,Amazon,Pune,Food
2024-02-19,2244,Amazon,Pune,Transfer
2024-02-25,5013,Zomato,Mumbai,Food
2024-01-31,1601,Flipkart,Bangalore,Online
2024-01-17,258841,Unknown,Pune,Food
2024-02-03,99755,Unknown,Pune,Online
2024-02-19,3208,Swiggy,Bangalore,Online
2024-01-02,5028,Flipkart,Delhi,Transfer
2024-02-05,7776,Zomato,Bangalore,Online
2024-02-04,98918,Unknown,Delhi,Transfer
2024-02-07,7847,Swiggy,Bangalore,Transfer
2024-01-17,2915,Zomato,Mumbai,Food
2024-03-01,618,Flipkart,Delhi,Online
2024-01-19,717,Amazon,Mumbai,Food
2024-02-07,8532,Amazon,Bangalore,Food
2024-01-10,8437,Amazon,Delhi,Transfer
2024-01-30,166295,Unknown,Bangalore,Transfer
2024-02-26,229103,Unknown,Delhi,Transfer
2024-02-08,4293,Zomato,Mumbai,Online
2024-02-21,9903,Flipkart,Mumbai,Food
2024-01-01,6956,Swiggy,Delhi,Transfer
2024-02-24,60714,Unknown,Mumbai,Online
2024-01-09,220087,Unknown,Mumbai,Transfer
2024-02-17,4150,Zomato,Pune,Food
2024-01-12,1775,Flipkart,Pune,Transfer
2024-01-19,6043,Amazon,Bangalore,Transfer
2024-02-12,2073,Swiggy,Pune,Online
2024-01-13,7864,Flipkart,Pune,Online
2024-02-19,1314,Swiggy,Pune,Online
2024-01-31,5044,Flipkart,Delhi,Online
2024-03-01,854,Zomato,Mumbai,Transfer
2024-02-03,4727,Amazon,Delhi,Food
2024-01-24,6005,Flipkart,Mumbai,Food
2024-02-29,162757,Unknown,Delhi,Transfer
2024-01-18,820,Flipkart,Mumbai,Transfer
2024-01-06,9330,Flipkart,Mumbai,Transfer
2024-01-07,6428,Flipkart,Pune,Food
2024-01-13,1971,Flipkart,Mumbai,Food
2024-01-24,5852,Flipkart,Bangalore,Transfer
2024-02-01,4681,Swiggy,Pune,Transfer
2024-01-30,224643,Unknown,Bangalore,Online
2024-01-17,6691,Zomato,Bangalore,Online
2024-01-07,9747,Swiggy,Pune,Transfer
2024-02-07,4275,Amazon,Mumbai,Food
2024-01-25,6232,Amazon,Bangalore,Online
2024-01-25,5915,Amazon,Mumbai,Online
2024-01-13,9300,Amazon,Delhi,Transfer
2024-01-24,244577,Unknown,Pune,Food
2024-01-28,207385,Unknown,Delhi,Online
2024-01-22,4921,Zomato,Delhi,Online
2024-02-27,9260,Zomato,Mumbai,Food
2024-01-28,905,Zomato,Mumbai,Online
2024-01-12,5288,Amazon,Pune,Food
2024-01-27,9978,Amazon,Mumbai,Online
2024-01-22,3602,Zomato,Delhi,Online
2024-02-12,9009,Flipkart,Pune,Food
2024-01-20,7437,Zomato,Bangalore,Transfer
2024-01-28,7507,Amazon,Delhi,Online
2024-01-04,5085,Amazon,Delhi,Online
2024-01-22,3080,Flipkart,Pune,Online
2024-01-26,9509,Flipkart,Delhi,Online
2024-02-22,7030,Zomato,Pune,Transfer
2024-02-11,8348,Flipkart,Delhi,Online
2024-01-19,6731,Zomato,Delhi,Food
2024-01-31,4813,Zomato,Delhi,Transfer
2024-02-20,7225,Swiggy,Delhi,Food
2024-02-17,6788,Swiggy,Pune,Transfer
2024-02-15,2979,Zomato,Mumbai,Food
2024-02-18,238379,Unknown,Delhi,Transfer
2024-02-22,8670,Swiggy,Delhi,Transfer
2024-01-05,249167,Unknown,Mumbai,Food
2024-01-26,5779,Swiggy,Pune,Food
2024-01-08,56002,Unknown,Mumbai,Food
2024-01-17,2938,Swiggy,Mumbai,Online
2024-02-09,2235,Amazon,Mumbai,Food
2024-02-12,4460,Swiggy,Mumbai,Transfer
2024-02-07,1895,Flipkart,Delhi,Food
2024-02-01,4041,Zomato,Mumbai,Food
2024-02-07,231014,Unknown,Mumbai,Transfer
2024-02-12,1240,Amazon,Delhi,Online
2024-02-29,5161,Swiggy,Bangalore,Transfer
2024-02-22,6422,Zomato,Pune,Food
2024-01-29,943,Zomato,Bangalore,Online
2024-02-25,7961,Zomato,Delhi,Food
2024-02-24,7759,Swiggy,Delhi,Food
2024-02-23,2459,Swiggy,Pune,Online
2024-02-17,7552,Flipkart,Bangalore,Transfer
2024-01-15,8873,Swiggy,Bangalore,Transfer
2024-02-17,2541,Flipkart,Pune,Food
2024-02-24,8556,Amazon,Pune,Food
2024-02-20,9031,Swiggy,Pune,Transfer
2024-01-01,938,Flipkart,Pune,Food
2024-01-01,8396,Swiggy,Mumbai,Food
